address,area,rooms,bathrooms,garages,amenities,price,condo,neighborhood,zona
"Rua João Pio Duarte Silva, 404 - Córrego Grande, Florianópolis - SC",85,3,2,1.0,"Elevador
Área de serviço
Varanda
Condomínio fechado
Cozinha",1800.0,529, Córrego Grande,Central
"Rua Almirante Alvim - Centro, Florianópolis - SC",65,3,1,1.0,Elevador,2500.0,475, Centro,Central
"Rua Eurico Hosterno - Santa Mônica, Florianópolis - SC",55,1,1,0.0,,2570.0,0, Santa Mônica,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",66,2,1,0.0,,1400.0,350, Trindade,Central
"Rua Marcus Aurélio Homem - Carvoeira, Florianópolis - SC",59,2,1,1.0,Elevador,1380.0,700, Carvoeira,Central
"Praça Olívio Amorim - Centro, Florianópolis - SC",112,3,2,1.0,Elevador,3500.0,780, Centro,Central
"Rua Desembargador Urbano Salles - Centro, Florianópolis - SC",97,3,2,1.0,"Mobiliado
Elevador
Área de serviço
Salão de festas
Playground",2500.0,800, Centro,Central
"Rua Douglas Seabra Levier - Carvoeira, Florianópolis - SC",73,2,1,1.0,Elevador,1900.0,400, Carvoeira,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",51,1,1,0.0,,1500.0,350, Pantanal,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",55,2,1,1.0,,1350.0,380, Trindade,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",40,1,1,1.0,,1250.0,401, Carvoeira,Central
"Rodovia Virgílio Várzea - Saco Grande, Florianópolis - SC",82,2,2,1.0,"Elevador
Piscina",2000.0,589, Saco Grande,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",64,2,2,1.0,"Elevador
Churrasqueira
Salão de festas
Playground
Ar-condicionado",3250.0,0, Trindade,Central
"Rua Capitão Romualdo de Barros, 611 - Carvoeira, Florianópolis - SC",71,2,2,2.0,"Elevador
Área de serviço
Churrasqueira
Salão de festas
Playground",2500.0,420, Carvoeira,Central
"Rua João Pio Duarte Silva - Córrego Grande, Florianópolis - SC",109,3,3,1.0,"Elevador
Piscina",2500.0,944, Córrego Grande,Central
"Rua Pastor William Richard Schisler Filho - Itacorubi, Florianópolis - SC",89,3,1,1.0,Piscina,1650.0,503, Itacorubi,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",92,3,2,1.0,Elevador,1600.0,831, Pantanal,Central
"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",75,3,2,1.0,Elevador,1800.0,561, Itacorubi,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",66,2,2,2.0,"Elevador
Piscina",2500.0,820, Pantanal,Central
"Rua Douglas Seabra Levier - Carvoeira, Florianópolis - SC",73,2,1,1.0,Elevador,1650.0,370, Carvoeira,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",62,2,2,2.0,"Elevador
Piscina",3000.0,569, Pantanal,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",67,3,1,1.0,,1550.0,325, Trindade,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",73,3,3,1.0,,1800.0,360, Trindade,Central
"Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC",65,1,1,0.0,Elevador,1500.0,325, Centro,Central
"Rua Duarte Schutel - Centro, Florianópolis - SC",61,1,1,1.0,Elevador,1200.0,440, Centro,Central
"Rua Professor José Brasilicio de Souza - Trindade, Florianópolis - SC",64,2,1,1.0,Elevador,1500.0,467, Trindade,Central
"Rua São Francisco - Centro, Florianópolis - SC",70,2,1,1.0,Elevador,1850.0,427, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",89,3,2,1.0,"Mobiliado
Elevador
Churrasqueira
Salão de festas
Playground",2300.0,800, Trindade,Central
"Trindade, Florianópolis - SC",39,1,1,1.0,"Elevador
Salão de festas",1690.0,387, SC,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",41,1,1,1.0,Elevador,1650.0,404, Carvoeira,Central
"Rua Capitão Américo - Córrego Grande, Florianópolis - SC",58,2,1,1.0,Elevador,1700.0,614, Córrego Grande,Central
"Servidão Wenceslau Martinho Vieira - Córrego Grande, Florianópolis - SC",60,2,1,1.0,Elevador,1600.0,383, Córrego Grande,Central
"Rua Bocaiúva - Centro, Florianópolis - SC",72,2,1,0.0,Elevador,1950.0,560, Centro,Central
"Rua Duarte Schutel - Centro, Florianópolis - SC",101,3,2,1.0,Elevador,2500.0,780, Centro,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",42,1,1,1.0,,1150.0,405, Carvoeira,Central
"Córrego Grande, Florianópolis - SC",90,3,2,1.0,"Elevador
Churrasqueira
Quadra poliesportiva
Segurança 24h
Interfone",2700.0,637, SC,Central
"Rua Edison Areas - Trindade, Florianópolis - SC",66,2,2,1.0,Elevador,2300.0,260, Trindade,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",44,1,1,0.0,,1400.0,388, Carvoeira,Central
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",77,3,2,1.0,,1600.0,329, Agronômica,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",142,3,3,2.0,"Elevador
Piscina",3900.0,1100, Trindade,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",42,1,1,1.0,,1300.0,412, Carvoeira,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",55,2,1,1.0,Elevador,2100.0,490, Trindade,Central
"Rua João Pio Duarte Silva - Córrego Grande, Florianópolis - SC",70,2,1,1.0,,1320.0,518, Córrego Grande,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",60,2,1,1.0,Elevador,2000.0,475, Pantanal,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",74,3,1,0.0,,1600.0,436, Trindade,Central
"Rua Pastor William Richard Schisler Filho, 884 - Itacorubi, Florianópolis - SC",69,2,2,2.0,"Elevador
Área de serviço
Salão de festas
Playground
Academia",2350.0,650, Itacorubi,Central
"Rua Desembargador Arno Hoeschl, 121 - Centro, Florianópolis - SC",115,3,3,1.0,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",4440.0,1211, Centro,Central
"Rua Ferreira Lima, 122 - Centro, Florianópolis - SC",181,3,5,2.0,"Área de serviço
Churrasqueira
Sala de jantar",4800.0,1350, Centro,Central
"Rua Duarte Schutel - Centro, Florianópolis - SC",66,1,1,1.0,Elevador,1600.0,577, Centro,Central
"Rua João Motta Espezim - Saco dos Limões, Florianópolis - SC",62,2,1,1.0,,1900.0,271, Saco dos Limões,Central
"Rua Douglas Seabra Levier - Carvoeira, Florianópolis - SC",112,3,2,1.0,,1950.0,400, Carvoeira,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",58,1,1,1.0,,1950.0,482, Trindade,Central
"Rua Artista Bittencourt - Centro, Florianópolis - SC",119,3,2,1.0,Elevador,2200.0,1134, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",74,2,1,1.0,,1500.0,417, Trindade,Central
"Rodovia Virgílio Várzea - Saco Grande, Florianópolis - SC",82,2,2,1.0,"Elevador
Piscina",2300.0,665, Saco Grande,Central
"Rua Luiz Delfino - Centro, Florianópolis - SC",250,4,5,3.0,"Elevador
Piscina",8500.0,1600, Centro,Central
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",57,2,1,1.0,"Elevador
Piscina",2200.0,550, Itacorubi,Central
"Rua Almirante Lamego - Centro, Florianópolis - SC",74,2,2,1.0,Elevador,2200.0,474, Centro,Central
"Rua Tenente Silveira - Centro, Florianópolis - SC",39,1,1,1.0,Elevador,1400.0,730, Centro,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",32,1,1,1.0,,2100.0,300, Carvoeira,Central
"Rua General Bittencourt - Centro, Florianópolis - SC",70,2,1,0.0,Elevador,1250.0,373, Centro,Central
"Avenida Governador Irineu Bornhausen - Agronômica, Florianópolis - SC",149,3,3,2.0,Elevador,4500.0,1460, Agronômica,Central
"Servidão Catarina Albina Gouvêa - Saco dos Limões, Florianópolis - SC",34,1,1,0.0,,1000.0,100, Saco dos Limões,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",75,3,1,0.0,,1900.0,490, Trindade,Central
"Rua Professor Bento Águido Vieira - Trindade, Florianópolis - SC",70,2,1,1.0,,1950.0,500, Trindade,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",64,2,1,1.0,,1600.0,569, Pantanal,Central
"Carvoeira, Florianópolis - SC",32,1,1,0.0,"Churrasqueira
Circuito de segurança
Espaço gourmet
Aquecimento
Interfone",1100.0,90, SC,Central
"Rua Almirante Alvim, 550 - Centro, Florianópolis - SC",67,2,1,1.0,"Condomínio fechado
Garagem",1900.0,412, Centro,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",70,2,1,1.0,Elevador,2000.0,493, Trindade,Central
"Praça Quinze de Novembro - Agronômica, Florianópolis - SC",128,3,4,1.0,"Área de serviço
Churrasqueira
Ar-condicionado
Mais de um andar
Armário embutido",8200.0,750, Agronômica,Central
"Rua Sebastião Laurentino da Silva - Córrego Grande, Florianópolis - SC",70,2,2,1.0,,2400.0,580, Córrego Grande,Central
"Rua Anita Garibaldi - Centro, Florianópolis - SC",40,1,1,0.0,Elevador,950.0,415, Centro,Central
"Servidão Amaral Antero Bastos - Itacorubi, Florianópolis - SC",70,2,1,2.0,,2250.0,350, Itacorubi,Central
"Centro, Florianópolis - SC",93,3,2,2.0,,3500.0,567, SC,Central
"Rua Francisco Goulart - Trindade, Florianópolis - SC",82,2,2,1.0,Elevador,2300.0,736, Trindade,Central
"Rua Vera Linhares de Andrade - Itacorubi, Florianópolis - SC",80,2,2,2.0,Piscina,2700.0,500, Itacorubi,Central
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",67,2,2,1.0,"Elevador
Piscina",2200.0,650, Itacorubi,Central
"Rua João Pio Duarte Silva - Córrego Grande, Florianópolis - SC",72,2,2,1.0,Elevador,2100.0,468, Córrego Grande,Central
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",83,3,2,2.0,Elevador,2300.0,450, Trindade,Central
"Avenida Madre Benvenuta - Trindade, Florianópolis - SC",82,3,2,3.0,"Elevador
Piscina",3500.0,857, Trindade,Central
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",121,3,4,2.0,Elevador,3800.0,1200, Agronômica,Central
"Rua José João Martendal - Carvoeira, Florianópolis - SC",72,2,2,1.0,Elevador,1400.0,625, Carvoeira,Central
"Agronômica, Florianópolis - SC",38,1,1,1.0,,2650.0,472, SC,Central
"Trindade, Florianópolis - SC",72,2,1,1.0,"Área de serviço
Ar-condicionado
Interfone
Armário embutido
Sala de jantar",1800.0,588, SC,Central
"Rua Frei Caneca - Agronômica, Florianópolis - SC",103,2,3,2.0,Elevador,4000.0,619, Agronômica,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",50,1,1,1.0,,1500.0,380, Carvoeira,Central
"Servidão Recanto Verde, 155 - Itacorubi, Florianópolis - SC",65,2,2,2.0,"Área de serviço
Churrasqueira
Salão de festas
Playground
Sala de jantar",2400.0,700, Itacorubi,Central
"Servidão Recanto Verde, 170 - Itacorubi, Florianópolis - SC",65,2,2,1.0,"Área de serviço
Churrasqueira
Salão de festas
Playground
Sala de jantar",2650.0,600, Itacorubi,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",40,2,1,0.0,,1300.0,350, Pantanal,Central
"Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC",76,2,1,0.0,Elevador,1800.0,558, Centro,Central
"Rua Tangará - Agronômica, Florianópolis - SC",72,3,1,1.0,,1700.0,320, Agronômica,Central
"Centro, Florianópolis - SC",60,1,1,1.0,,5500.0,860, SC,Central
"Rua Francisco Goulart - Trindade, Florianópolis - SC",76,2,1,1.0,,1800.0,530, Trindade,Central
"Rua Almirante Lamego, 1274 - Centro, Florianópolis - SC",58,1,1,1.0,"Elevador
Cozinha",1350.0,625, Centro,Central
"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",46,2,1,1.0,,1400.0,400, Itacorubi,Central
"Avenida Hercílio Luz - Centro, Florianópolis - SC",94,2,2,0.0,Elevador,2100.0,651, Centro,Central
"Centro, Florianópolis - SC",76,2,2,2.0,,7000.0,790, SC,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",68,2,2,1.0,Elevador,2300.0,630, Pantanal,Central
"Avenida Mauro Ramos - Centro, Florianópolis - SC",39,1,1,1.0,"Mobiliado
Salão de festas
Playground
Academia
Jardim",3400.0,345, Centro,Central
"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",204,4,3,1.0,Elevador,4100.0,1200, Itacorubi,Central
"Servidão Feliciano Martins Vieira - Itacorubi, Florianópolis - SC",115,2,2,1.0,,2800.0,650, Itacorubi,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",66,2,2,2.0,"Elevador
Piscina",2500.0,799, Pantanal,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",59,2,1,1.0,,1800.0,435, Carvoeira,Central
"Rua Maria Eduarda - Pantanal, Florianópolis - SC",17,1,1,0.0,,720.0,90, Pantanal,Central
"Rua Francisco Goulart - Trindade, Florianópolis - SC",66,2,2,1.0,,1700.0,476, Trindade,Central
"Rua São Francisco - Centro, Florianópolis - SC",64,2,1,1.0,Elevador,2300.0,635, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",60,1,1,0.0,,1200.0,304, Trindade,Central
"Rodovia Amaro Antônio Vieira, 2155 - Itacorubi, Florianópolis - SC",74,3,2,1.0,"Área de serviço
Salão de festas
Sala de jantar
Garagem",1850.0,550, Itacorubi,Central
"Rua Anita Garibaldi - Centro, Florianópolis - SC",35,1,1,0.0,,680.0,385, Centro,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",52,2,1,0.0,,1200.0,350, Trindade,Central
"Rua Ferreira Lima, 178 - Centro, Florianópolis - SC",108,3,1,1.0,"Condomínio fechado
Garagem",2700.0,968, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",72,2,1,1.0,,1800.0,255, Trindade,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",64,2,2,1.0,"Elevador
Churrasqueira
Salão de festas
Playground
Ar-condicionado",3300.0,0, Trindade,Central
"Rua João Pio Duarte Silva - Córrego Grande, Florianópolis - SC",65,2,2,1.0,"Elevador
Piscina",2300.0,573, Córrego Grande,Central
"Rua José João Martendal - Carvoeira, Florianópolis - SC",80,3,2,2.0,Elevador,2500.0,550, Carvoeira,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",65,2,1,1.0,"Elevador
Salão de festas
Ar-condicionado
Cozinha",1750.0,495, Pantanal,Central
"Rua Capitão Américo - Córrego Grande, Florianópolis - SC",68,2,2,2.0,,2500.0,450, Córrego Grande,Central
"Centro, Florianópolis - SC",65,2,1,1.0,"Mobiliado
Salão de festas
Ar-condicionado
Interfone
Armário embutido",2500.0,750, SC,Central
"Rua Presidente Nereu Ramos - Centro, Florianópolis - SC",206,2,3,0.0,"Espaço gourmet
Gerador elétrico
Segurança 24h",7900.0,0, Centro,Central
"Rua General Bittencourt - Centro, Florianópolis - SC",55,2,1,0.0,"Elevador
Salão de festas
Ar-condicionado
Armário na cozinha",2000.0,509, Centro,Central
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",84,3,3,2.0,Elevador,2100.0,330, Trindade,Central
"Servidão Laje de Pedra - Itacorubi, Florianópolis - SC",47,1,1,1.0,Elevador,1800.0,891, Itacorubi,Central
"Rua Professora Maria Flora Pausewang - Trindade, Florianópolis - SC",86,3,2,1.0,"Elevador
Salão de festas",2000.0,550, Trindade,Central
"Rua Almirante Lamego - Centro, Florianópolis - SC",103,3,3,1.0,Elevador,2100.0,1320, Centro,Central
"Rua Europa - Trindade, Florianópolis - SC",64,3,1,1.0,,1600.0,437, Trindade,Central
"Rua João Pio Duarte Silva - Córrego Grande, Florianópolis - SC",83,2,2,1.0,Elevador,2200.0,580, Córrego Grande,Central
"Rua Frei Caneca - Agronômica, Florianópolis - SC",207,4,4,2.0,"Elevador
Piscina",7500.0,1330, Agronômica,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",46,1,1,1.0,,1300.0,284, Trindade,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",60,2,1,1.0,,1050.0,400, Trindade,Central
"Rua Marcus Aurélio Homem - Carvoeira, Florianópolis - SC",59,2,1,1.0,Elevador,1600.0,600, Carvoeira,Central
"Rua Padre Roma - Centro, Florianópolis - SC",48,1,1,0.0,"Elevador
Salão de festas
Aceita animais",1500.0,300, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",59,1,1,0.0,,1500.0,317, Trindade,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",37,1,1,0.0,,1250.0,268, Carvoeira,Central
"Rodovia João Paulo - Joao Paulo, Florianópolis - SC",104,3,3,2.0,,2700.0,867, Joao Paulo,Central
"Itacorubi, Florianópolis - SC",74,2,2,1.0,"Área de serviço
Churrasqueira
Salão de festas
Playground
Varanda",2100.0,570, SC,Central
"Rua Desembargador Arno Hoeschl - Centro, Florianópolis - SC",135,3,3,1.0,"Mobiliado
Área de serviço
Churrasqueira
Varanda
Próximo a escola",6000.0,800, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",65,2,1,1.0,,1800.0,465, Trindade,Central
"Boulevard Paulo Zimmer - Agronômica, Florianópolis - SC",128,3,4,1.0,"Área de serviço
Salão de festas
Playground
Academia
Jardim",5900.0,705, Agronômica,Central
"Rodovia Admar Gonzaga, 1663 - Itacorubi, Florianópolis - SC",57,2,1,1.0,"Mobiliado
Elevador
Área de serviço
Vigia
Interfone",1300.0,527, Itacorubi,Central
"Rua Marcus Aurélio Homem - Carvoeira, Florianópolis - SC",58,2,1,1.0,Elevador,1300.0,585, Carvoeira,Central
"Avenida Mauro Ramos, 1487 - Centro, Florianópolis - SC",65,2,2,2.0,"Área de serviço
Salão de festas
Playground
Sala de jantar",2250.0,700, Centro,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",55,2,1,1.0,,1500.0,430, Trindade,Central
"Centro, Florianópolis - SC",76,2,1,1.0,,7900.0,1057, SC,Central
"Rodovia Admar Gonzaga, 725 - Itacorubi, Florianópolis - SC",83,2,2,2.0,"Elevador
Área de serviço
Salão de festas
Playground
Academia",2600.0,950, Itacorubi,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",64,3,1,1.0,,1700.0,410, Trindade,Central
"Rua Presidente Coutinho - Centro, Florianópolis - SC",85,2,2,2.0,Elevador,3500.0,750, Centro,Central
"Rua Jade Magalhães - Centro, Florianópolis - SC",61,3,1,0.0,,1700.0,527, Centro,Central
"Rua Professora Maria Luiza Rodrigues - Trindade, Florianópolis - SC",50,1,1,1.0,,1200.0,180, Trindade,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",65,2,1,1.0,,1800.0,302, Trindade,Central
"Rua Fernando Machado - Centro, Florianópolis - SC",45,1,1,1.0,"Elevador
Salão de festas
Ar-condicionado
Aceita animais
Portaria 24h",1000.0,500, Centro,Central
"Avenida Madre Benvenuta - Trindade, Florianópolis - SC",68,2,2,2.0,"Elevador
Piscina",2450.0,782, Trindade,Central
"Rodovia João Paulo - Joao Paulo, Florianópolis - SC",67,2,2,1.0,"Elevador
Piscina",1700.0,600, Joao Paulo,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",66,2,1,1.0,Elevador,1800.0,500, Pantanal,Central
"Rua Tenente Silveira - Centro, Florianópolis - SC",55,1,1,0.0,"Elevador
Interfone",1200.0,340, Centro,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",52,2,1,1.0,,1400.0,390, Trindade,Central
"Rua Almirante Lamego - Centro, Florianópolis - SC",103,3,3,1.0,Elevador,2100.0,1320, Centro,Central
"Rua Vidal Ramos - Centro, Florianópolis - SC",73,2,2,0.0,Elevador,1800.0,550, Centro,Central
"Servidão Wenceslau Martinho Vieira - Córrego Grande, Florianópolis - SC",60,2,1,1.0,Elevador,1600.0,383, Córrego Grande,Central
"Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC",43,1,1,0.0,Elevador,1350.0,340, Centro,Central
"Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC",50,1,1,0.0,Elevador,1300.0,295, Centro,Central
"Rua José João Martendal - Carvoeira, Florianópolis - SC",65,2,1,1.0,Elevador,1700.0,292, Carvoeira,Central
"Avenida Hercílio Luz - Centro, Florianópolis - SC",65,1,1,0.0,Elevador,1350.0,364, Centro,Central
"Servidão Corintians - Pantanal, Florianópolis - SC",62,2,2,1.0,Elevador,1850.0,420, Pantanal,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",45,2,1,0.0,,1550.0,318, Trindade,Central
"Rua Europa - Trindade, Florianópolis - SC",64,3,1,1.0,,1200.0,360, Trindade,Central
"Rua Esteves Júnior - Centro, Florianópolis - SC",99,3,2,2.0,"Elevador
Salão de festas
Playground
Ar-condicionado
Armário na cozinha",2650.0,932, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",142,3,3,2.0,"Elevador
Piscina",3900.0,1100, Trindade,Central
"Rua Jornalista Tito Carvalho - Carvoeira, Florianópolis - SC",62,2,1,1.0,,1500.0,380, Carvoeira,Central
"Centro, Florianópolis - SC",92,2,2,1.0,,2200.0,1037, SC,Central
"Centro, Florianópolis - SC",93,2,1,1.0,,1800.0,463, SC,Central
"Rua Professor José Brasilicio de Souza - Trindade, Florianópolis - SC",68,2,2,1.0,,1800.0,0, Trindade,Central
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",79,3,2,1.0,Elevador,2550.0,620, Agronômica,Central
"Rua General Bittencourt - Centro, Florianópolis - SC",85,2,1,1.0,,1260.0,545, Centro,Central
"Rua Professor Bento Águido Vieira - Trindade, Florianópolis - SC",47,1,1,1.0,,1550.0,450, Trindade,Central
"Rua General Bittencourt - Centro, Florianópolis - SC",56,2,1,1.0,"Elevador
Salão de festas
Armário na cozinha",1600.0,600, Centro,Central
"Servidão Franzoni - Agronômica, Florianópolis - SC",60,3,1,1.0,,2000.0,0, Agronômica,Central
"Avenida Mauro Ramos - Centro, Florianópolis - SC",90,2,2,1.0,Elevador,2300.0,616, Centro,Central
"Praça Pereira Oliveira - Centro, Florianópolis - SC",65,2,1,0.0,Elevador,2000.0,445, Centro,Central
"Rua Desembargador Arno Hoeschl - Centro, Florianópolis - SC",109,2,3,2.0,"Elevador
Churrasqueira
Playground
Ar-condicionado
Salão de jogos",4500.0,876, Centro,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",58,2,1,0.0,,1400.0,550, Carvoeira,Central
"Itacorubi, Florianópolis - SC",98,3,2,1.0,"Elevador
Salão de festas
Playground
Varanda
Academia",2300.0,505, SC,Central
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",42,1,1,0.0,"Piscina
Área de serviço
Salão de festas
Playground
Ar-condicionado",1300.0,390, Agronômica,Central
"Centro, Florianópolis - SC",56,2,1,1.0,"Elevador
Piscina
Churrasqueira
Piscina para adulto",1600.0,677, SC,Central
"Rua Fernando Machado - Centro, Florianópolis - SC",65,1,1,1.0,,1100.0,1277, Centro,Central
"Rua Maria Eduarda - Pantanal, Florianópolis - SC",33,1,1,1.0,,890.0,90, Pantanal,Central
"Rua Esteves Júnior, 458 - Centro, Florianópolis - SC",145,3,2,1.0,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Ar-condicionado",6200.0,890, Centro,Central
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",66,2,1,1.0,"Elevador
Salão de festas
Playground",1790.0,403, Itacorubi,Central
"Rua das Azaléias - Saco dos Limões, Florianópolis - SC",15,1,1,0.0,"Mobiliado
Churrasqueira
Lavanderia
Armário na cozinha
Armário embutido",650.0,50, Saco dos Limões,Central
"Servidão Clodomiro Vicente da Silva - Saco dos Limões, Florianópolis - SC",30,1,1,1.0,"Mobiliado
Lavanderia
Armário na cozinha
Armário embutido",1200.0,0, Saco dos Limões,Central
"Centro, Florianópolis - SC",56,2,1,1.0,,2000.0,568, SC,Central
"Centro, Florianópolis - SC",82,2,2,1.0,,2300.0,844, SC,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",57,2,1,1.0,Piscina,1550.0,431, Carvoeira,Central
"Rua Presidente Gama Rosa - Trindade, Florianópolis - SC",70,2,1,1.0,Elevador,2000.0,378, Trindade,Central
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",65,2,1,1.0,Elevador,2300.0,288, Trindade,Central
"Avenida Governador Irineu Bornhausen - Agronômica, Florianópolis - SC",149,3,4,1.0,Elevador,3300.0,1345, Agronômica,Central
"Servidão Catarina Albina Gouvêa - Saco dos Limões, Florianópolis - SC",30,1,1,1.0,,1100.0,100, Saco dos Limões,Central
"Rua Presidente Nereu Ramos - Centro, Florianópolis - SC",90,3,3,1.0,"Elevador
Salão de festas
Ar-condicionado
Armário na cozinha",2280.0,837, Centro,Central
"Rua Professor José Brasilicio de Souza - Trindade, Florianópolis - SC",41,1,1,1.0,"Elevador
Área de serviço
Interfone
Armário embutido",2000.0,368, Trindade,Central
"Rua Delminda Silveira, 535 - Agronômica, Florianópolis - SC",78,3,2,1.0,"Elevador
Área de serviço
Varanda
Condomínio fechado
Cozinha",2400.0,662, Agronômica,Central
"Rua Cristóvão Nunes Pires - Centro, Florianópolis - SC",108,3,1,1.0,"Elevador
Área de serviço
Varanda
TV a cabo
Vista para o mar",2600.0,800, Centro,Central
"Rua Almíscar, 120 - Monte Verde, Florianópolis - SC",82,2,2,1.0,"Área de serviço
Playground
Salão de jogos
Sala de jantar",2500.0,510, Monte Verde,Central
"Rua Gentil Leandro dos Santos - Saco dos Limões, Florianópolis - SC",24,1,1,1.0,"Mobiliado
Piscina
Lavanderia
Armário na cozinha
Armário embutido",1060.0,0, Saco dos Limões,Central
"Rua Marcus Aurélio Homem - Trindade, Florianópolis - SC",47,1,1,1.0,"Elevador
Churrasqueira
TV a cabo
Quintal",1300.0,509, Trindade,Central
"Rua Visconde de Ouro Preto - Centro, Florianópolis - SC",69,3,2,1.0,,2300.0,350, Centro,Central
"Centro, Florianópolis - SC",67,2,1,1.0,,1800.0,595, SC,Central
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",55,1,1,1.0,,1650.0,410, Trindade,Central
"Avenida Jornalista Rubens de Arruda Ramos - Centro, Florianópolis - SC",297,4,4,3.0,Elevador,5500.0,3900, Centro,Central
"Rua Almirante Alvim - Centro, Florianópolis - SC",76,2,1,1.0,Elevador,2400.0,523, Centro,Central
"Itacorubi, Florianópolis - SC",92,1,1,0.0,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",1950.0,605, SC,Central
"Rua Mediterrâneo - Córrego Grande, Florianópolis - SC",67,2,1,1.0,Elevador,1800.0,570, Córrego Grande,Central
"Rua Rui Barbosa - Centro, Florianópolis - SC",150,3,3,1.0,Elevador,3950.0,941, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",46,1,1,1.0,,1300.0,313, Trindade,Central
"Centro, Florianópolis - SC",170,2,1,1.0,,4900.0,1359, SC,Central
